id,sol,cam_name,img_src,earth_date,rover_name,cat_foun
425046,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630600405157E01_DXXX.jpg,2015-05-30,Curiosity,N,
425047,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630590503619E02_DXXX.jpg,2015-05-30,Curiosity,N,
425048,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630590405156E01_DXXX.jpg,2015-05-30,Curiosity,N,
425049,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630580405155E01_DXXX.jpg,2015-05-30,Curiosity,N,
425050,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630580503618E01_DXXX.jpg,2015-05-30,Curiosity,N,
425051,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630570503617E02_DXXX.jpg,2015-05-30,Curiosity,N,
425052,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630570405154E01_DXXX.jpg,2015-05-30,Curiosity,N,
425053,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630560405153E02_DXXX.jpg,2015-05-30,Curiosity,N,
425054,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630560503616E01_DXXX.jpg,2015-05-30,Curiosity,N,
425055,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630550503615E01_DXXX.jpg,2015-05-30,Curiosity,N,
425056,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630550405152E01_DXXX.jpg,2015-05-30,Curiosity,N,
425057,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630540503614E02_DXXX.jpg,2015-05-30,Curiosity,N,
425058,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630540405151E02_DXXX.jpg,2015-05-30,Curiosity,N,
425059,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630530503613E01_DXXX.jpg,2015-05-30,Curiosity,N,
425060,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630530405150E01_DXXX.jpg,2015-05-30,Curiosity,N,
425061,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630520503612E01_DXXX.jpg,2015-05-30,Curiosity,N,
425062,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630520405149E02_DXXX.jpg,2015-05-30,Curiosity,N,
425063,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630510503611E02_DXXX.jpg,2015-05-30,Curiosity,N,
425064,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630510405148E01_DXXX.jpg,2015-05-30,Curiosity,N,
425065,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630500503610E02_DXXX.jpg,2015-05-30,Curiosity,N,
425066,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630500405147E01_DXXX.jpg,2015-05-30,Curiosity,N,
